OTU_ID eggs_s1 eggs_s2 larves_s1 larves_s2 females_s1 females_s2 females_s3 females_s4 females_s5 males_s1 males_s2 males_s3 males_s4 males_s5
703 0.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
2171 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0
3375 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0
4489 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0
5795 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0
5804 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
6127 0.0 0.0 0.0 1.0 0.0 2.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
12404 632.0 693.0 97.0 0.0 0.0 281.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
12494 4.0 6.0 58.0 10976.0 6.0 50924.0 1.0 3.0 71819.0 5.0 1.0 15.0 1.0 5236.0
12503 37.0 90.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0
12745 22.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 1.0 0.0 0.0 0.0 0.0
13265 124.0 68.0 0.0 0.0 0.0 86.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0
15962 0.0 0.0 1.0 37.0 0.0 154.0 0.0 0.0 188.0 0.0 0.0 0.0 0.0 50.0
15976 2.0 0.0 0.0 14.0 0.0 35.0 0.0 48.0 48.0 0.0 0.0 0.0 0.0 0.0
16082 0.0 0.0 0.0 1.0 0.0 7.0 0.0 0.0 9.0 0.0 0.0 0.0 0.0 1.0
16231 0.0 0.0 0.0 0.0 0.0 3.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0
16298 0.0 0.0 0.0 0.0 0.0 14.0 0.0 0.0 14.0 0.0 0.0 0.0 0.0 0.0
16537 0.0 0.0 0.0 15.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
16692 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
16705 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
17779 0.0 0.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
17803 0.0 0.0 0.0 4.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
19365 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 49.0 0.0
20947 6.0 12.0 0.0 0.0 0.0 4.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
