id	eggs_s1	eggs_s2	larves_s1	larves_s2	females_s1	females_s2	males_s1	males_s2
1	3700849	4237172	2	4049895	12	116	20	5782
3	437902	491225	8	76319	29	355	38	330
4	209517	252815	1	34330	21	122	5	2383
5	69865	46603	136	66	504	399	631	3504
6	60496	3472	14364	16243	1221	9501	946	9055
7	31153	10347	37	2082	138	243	42	233
8	21078	23887	7	22725	14	134	27	139
9	19299	3007	1331	1259	2340	23526	2176	21764
10	18081	1718	635	1121	150	1213	91	1158
11	16785	10278	773	231	1468	11792	6929	10567
12	15510	3461	414	127	447	3013	381	2754
13	11201	4207	170	164	101	588	133	568
14	10546	3200	297	216	459	2221	298	2145
15	9312	12384	4	8008	11	218	14	753
16	8896	3898	157	45	164	433	62	387
17	8774	1769	58	312	90	405	63	364
18	8545	5452	103	82	23	391	44	363
19	8545	1067	45	36	139	191	49	168
20	7787	1279	185	79	161	1677	177	1415
21	7667	2556	169	2656	392	2158	217	1970
22	7664	992	63	1646	109	309	22	252
23	7572	2399	99	60	240	815	85	700
24	7284	3939	98	314	19	127	21	129
25	6679	203	624	7	31	441	22	405
26	6677	1053	500	3491	604	3062	297	2539
27	5613	891	468	11061	141	955	110	908
28	5439	639	74	43	106	576	68	503
29	5349	560	132	11	14	92	21	110
30	5297	804	288	469	343	2686	319	2569
31	5061	1124	150	152	187	1656	185	1508
32	4791	5827	4	4179	30	234	16	408
33	4544	885	49	19	82	498	123	545
34	4479	346	34	34	27	275	45	278
35	4177	1504	55	19	109	4181	91	4764
36	3727	3446	120	19	68	706	352	1695
37	3698	186	10	12	18	59	18	71
38	3457	444	208	978	244	1325	221	1239
39	3455	382	169	3551	80	943	85	949
40	3291	155	51	14	27	131	16	149
41	3214	1123	118	23	42	620	244	1461
42	3204	410	61	89	112	840	82	727
43	3184	599	630	709	520	3092	342	2687
44	3102	371	83	38	153	1510	75	899
45	2906	1717	203	23	106	618	115	633
46	2840	1088	121	89	92	793	113	755
47	2731	728	22	8	28	102	18	109
48	2713	1318	112	262	236	2237	217	2269
49	2651	444	545	31	164	904	151	889
50	2610	692	58	56	463	2196	238	2309
51	2535	48	26	11	62	364	64	347
52	2464	153	100	793	25	307	16	287
53	2345	600	54	20	68	313	72	320
54	2240	262	181	416	324	2541	237	2378
55	2184	411	352	108	567	3781	612	4772
56	2156	715	102	10	61	1082	100	1159
57	2148	103	148	277	73	397	67	327
58	2138	1226	157	34	63	786	463	2625
59	2004	4266	339	5	5	52	5	41
60	1963	454	79	140	228	2620	115	2782
61	1956	409	151	10	61	141	28	90
62	1946	237	2	319	31	30	7	37
63	1936	129	27	137	94	661	57	468
64	1896	575	625	36	172	533	116	547
65	1860	85	14	2	34	139	10	110
66	1853	186	19	14	7	44	2	41
67	1788	113	301	3747	30	112	8	149
68	1787	215	94	123	134	1126	161	1214
69	1762	382	9	2	11	27	11	38
70	1734	207	18	2	42	185	37	183
71	1606	260	148	195	149	1729	240	1478
72	1606	1623	231	268	3516	5352	1160	3752
73	1530	1110	3519	35	87	278	49	247
74	1512	274	3	3	11	46	8	41
75	1495	470	51	23	33	3026	48	2912
76	1494	122	25	61	41	244	42	267
77	1490	474	210	38	57	351	37	255
78	1456	432	13	244	61	222	38	190
79	1434	185	62	118	98	1035	89	962
80	1430	7	0	3	12	26	3	20
81	1415	154	37	44	51	118	23	145
82	1407	283	195	87	962	5367	741	4870
83	1382	803	767	253	6355	47803	4215	35610
84	1349	158	72	53	37	259	56	263
85	1324	143	4	1	3	141	16	116
86	1323	347	12	35	15	137	7	86
87	1317	342	205	254	1330	29443	1067	10456
88	1314	211	71	31	142	4405	2025	2510
89	1311	277	10	20	31	115	15	117
90	1301	199	47	243	3	37	4	18
91	1262	341	808	7	40	301	38	459
92	1254	1600	2	157	31	273	15	167
93	1238	698	70	9	61	143	124	770
94	1226	375	5	5	38	436	31	384
95	1219	93	211	152	19	39	4	51
96	1202	211	15	22	8	189	11	149
97	1201	1433	1	579	6	514	8	863
98	1201	485	29	2	13	335	83	241
99	1158	593	59	139	62	413	71	345
100	1089	123	46	10	60	412	59	409
101	1085	219	86	92	319	911	138	918
102	1063	133	69	91	142	988	129	935
103	1015	93	23	46	20	99	8	127
104	1002	536	115	147	598	4874	710	5254
105	994	325	125	90	24	222	31	205
106	985	136	8	32	8	152	16	114
107	985	47	6	5	5	29	3	34
108	978	1660	85	7	14	1185	19	92
109	973	94	49	6	6	108	5	98
110	965	408	52	26	130	576	129	683
111	960	49	91	85	80	94	62	100
112	953	132	32	25	47	356	70	302
113	948	124	113	8	13	350	40	356
114	917	101	28	15	43	165	21	163
115	910	141	17	83	14	113	18	150
116	905	135	46	48	114	665	95	599
117	905	44	11	26	16	86	10	89
118	900	91	35	21	19	131	43	141
119	888	55	36	49	33	162	33	202
120	886	15	5	8	3	49	8	38
121	875	387	51	0	2	51	5	37
122	871	6	1	15	3	39	2	19
123	822	140	154	26	191	1730	220	1601
124	817	150	25	5	61	401	31	336
125	796	195	177	27	119	842	128	709
126	794	122	804	9	76	2544	34	2894
127	784	1109	1	354	35	115	23	186
128	780	85	73	50	605	2392	375	1965
129	779	93	1	6	5	30	6	22
130	767	164	110	29	59	798	124	653
131	760	39	20	35	6	110	9	137
132	749	138	5	2	21	69	10	61
133	747	142	16	3	12	142	24	126
134	738	119	112	32	629	2882	402	2501
135	730	232	143	79	1410	6462	956	6035
136	718	75	30	52	16	475	16	301
137	707	59	124	2	3	82	16	89
138	686	130	36	7	54	409	55	329
139	668	196	17	4	3	98	10	94
140	664	84	18	10	29	208	20	230
141	662	134	5	24	3	13	3	16
142	660	109	24	20	62	420	69	396
143	659	148	47	2	7	178	23	158
144	658	158	44	4	3	110	43	237
145	657	161	86	49	250	1637	206	2725
146	655	87	42	12	28	357	39	324
147	649	130	84	13	71	413	76	518
148	649	5	5	5	9	84	6	67
149	640	113	310	17	60	329	56	351
150	634	76	57	14	17	164	16	166
151	626	189	30	25	17	176	27	141
152	617	1107	26	4	22	74	14	67
153	613	143	42	14	48	343	28	291
154	609	103	38	29	13	213	12	170
155	608	42	37	42	8	354	18	289
156	591	122	17	12	36	124	27	133
157	574	102	22	7	20	141	21	136
158	570	145	45	9	43	262	36	318
159	569	101	825	5	56	92	26	98
160	564	246	43	5	34	380	79	523
161	562	60	2	5	0	24	3	16
162	554	34	20	25	3	96	11	70
163	545	81	25	12	37	533	49	512
164	535	147	100	89	499	4484	636	4228
165	531	233	142	13	7	67	6	49
166	528	1006	3	79	22	337	31	463
167	524	453	15	11	90	261	41	203
168	520	70	103	20	53	394	73	384
169	519	5633	7	87	54	318	46	3083
170	519	86	12	51	31	156	27	166
171	514	67	13	9	62	93	21	86
172	514	89	33	12	95	344	55	322
173	509	136	25	35	43	704	51	739
174	507	92	31	62	34	478	52	443
175	505	23	231	5	2	6	4	9
176	505	177	142	169	578	2733	535	2804
177	496	61	29	30	18	196	44	227
178	481	515	11	59	112	334	81	345
179	477	94	34	15	23	250	28	183
180	474	94	485	3	33	63	13	86
181	474	42	33	27	229	1720	215	1495
182	473	61	36	23	52	165	28	146
183	469	85	35	62	14	305	32	232
184	468	48	40	775	11	186	8	179
185	465	53	1987	7	13	81	11	87
186	464	86	38	24	114	488	56	441
187	464	60	10	20	60	392	39	375
188	464	112	66	12	16	55	13	64
189	463	38	12	19	1	93	11	68
190	455	452	51	8	37	150	28	154
191	455	16	25	3	11	103	9	99
192	454	46	593	16	12	37	5	35
193	451	72	27	292	59	271	43	273
194	451	131	15	57	31	221	39	186
195	447	35	9	6	4	36	2	44
196	441	105	26	57	136	430	62	502
197	440	57	43	40	15	295	33	271
198	438	46	2	68	7	63	6	68
199	437	561	5	333	143	629	68	887
200	436	66	35	19	209	1040	236	1075
201	434	64	34	35	104	434	50	443
202	430	64	10	49	6	36	20	54
203	428	81	10	444	31	135	21	80
204	427	64	49	12	110	506	77	516
205	425	12	2	1	0	19	3	26
206	423	94	95	28	63	463	78	393
207	418	99	334	10	66	124	29	128
208	418	47	23	11	34	304	36	237
209	415	61	9	74	11	50	8	57
210	412	121	222	3	60	378	86	293
211	410	37	72	3	7	61	8	88
212	405	55	21	20	226	1156	151	905
213	404	553	3	63	34	1202	17	682
214	401	36	22	13	86	198	34	164
215	396	237	212	63	1484	78849	1276	63029
216	392	543	2	677	25	124	32	167
217	388	78	12	30	145	1046	27	787
218	387	65	10	29	25	172	26	129
219	387	65	23	7	55	205	19	156
220	386	69	2	1	3	13	3	24
221	382	26	24	36	15	153	15	125
222	379	280	15	10	54	228	32	217
223	377	29	4	190	18	118	10	124
224	370	72	40	16	147	982	237	897
225	368	43	5	4	3	55	7	60
226	368	99	28	25	22	275	47	322
227	363	92	36	6	33	217	28	189
228	362	37	24	7	121	640	82	609
229	361	18	6	8	23	152	21	147
230	360	58	238	1	141	212	24	127
231	360	99	8	36	18	302	18	281
232	359	33	2	9	1	53	6	72
233	357	51	9	13	1	102	6	65
234	356	41	17	32	44	223	20	189
235	355	130	3	2	2	41	3	16
236	355	27	19	4	16	58	13	59
237	354	60	25	60	25	301	46	280
238	352	60	52	29	293	2565	233	2007
239	352	80	60	5	28	125	30	90
240	351	38	6	5	10	40	5	54
241	344	43	56	19	121	709	101	677
242	342	78	32	11	21	313	91	226
243	341	71	35	26	132	1107	195	1043
244	341	66	24	4	7	74	6	54
245	341	49	3	1	15	58	8	37
246	338	52	8	7	33	231	29	200
247	336	106	11	27	13	145	48	151
248	335	16	24	0	1	13	1	13
249	335	55	22	7	41	277	46	243
250	334	6	0	0	4	65	6	64
251	334	34	4	2	60	34	9	10
252	334	57	8	5	20	216	15	217
253	328	90	26	9	101	623	72	449
254	328	52	46	12	43	445	85	430
255	321	70	332	5	13	255	22	227
256	320	67	6	2	0	24	9	29
257	320	45	6	2	28	225	27	199
258	317	374	4	3	9	58	6	56
259	311	56	9	10	4	63	12	81
260	310	48	21	22	30	253	58	241
261	308	236	7	13	8	52	6	63
262	306	84	13	9	42	172	24	151
263	300	34	4	4	44	68	23	63
264	300	42	10	11	13	59	12	87
265	298	47	7	17	21	160	14	222
266	297	61	35	5	39	238	13	606
267	296	20	14	6	5	39	7	44
268	296	359	5	57	65	445	74	323
269	295	80	8	1	33	124	42	167
270	294	10	6	3	21	61	10	56
271	294	18	5	12	8	71	12	37
272	292	24	29	2	132	3161	774	3362
273	291	69	78	35	452	2159	317	1819
