OTU_ID eggs_s1 eggs_s2 larves_s1 larves_s2 females_s1 females_s2 females_s3 females_s4 females_s5 males_s1 males_s2 males_s3 males_s4 males_s5
11310 5.0 1.0 10.0 1.0 2.0 17874.0 28483.0 49.0 25.0 4.0 0.0 0.0 29809.0 2.0
12278 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0
27647 0.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
138624 0.0 0.0 0.0 0.0 0.0 118.0 43.0 0.0 0.0 0.0 0.0 0.0 326.0 0.0
148961 0.0 0.0 0.0 0.0 0.0 2.0 3.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
150289 0.0 0.0 1.0 0.0 0.0 62.0 874.0 0.0 1.0 0.0 0.0 0.0 137.0 0.0
157523 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0
157539 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0
159118 0.0 1.0 7.0 0.0 0.0 5262.0 8396.0 0.0 41.0 0.0 0.0 0.0 1.0 0.0
162427 0.0 0.0 13.0 2.0 1.0 9902.0 11416.0 0.0 38.0 0.0 0.0 0.0 7.0 0.0
166789 0.0 0.0 2.0 0.0 0.0 173.0 310.0 1.0 2.0 0.0 0.0 0.0 289.0 0.0
166799 0.0 0.0 0.0 0.0 0.0 83.0 105.0 0.0 0.0 0.0 0.0 0.0 201.0 1.0
166809 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0
166831 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2.0 0.0
166892 0.0 0.0 0.0 0.0 0.0 71.0 4.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0
166904 0.0 0.0 0.0 0.0 0.0 14.0 8.0 0.0 0.0 0.0 0.0 0.0 10.0 0.0
